"manufacturer","Manufacturer Part #","Product Name","Product Description","Click-Out URL","Price","Category: Other Format","Category: NexTag Numeric ID","Image URL","Ground Shipping","Stock Status","Product Condition","Marketing Message","Weight","Cost-per-Click","UPC","Distributor ID","MUZE ID","ISBN"
"Avenir","0104402","Avenir Safety Flag","This 6ft. safety flag enhances your visibility on the road and collapses into three pieces for easier storage.  An absolute must for joggers, trailers, recumbents or any other low-profile vehicles.","http://www.bicyclebuys.com/item/0104402/nt",8.99,"Bicycles > Miscellaneous Components > Kid's Accessories","","http://www.bicyclebuys.com/productimages/0104402.jpg","","Yes","New","","",.45,"","","",""
"Hutchinson","0603206-29","Hutchinson Python New Gen Tubeless Ready 29x2.1 Tire","Hutchinson Python New Gen Tubeless Ready Tire. The TUBELESS READY technology also benefits advantages from the TUBELESS, but further in the way of light weight, with an average of 160 grams less than a Tubeless. However, it is compulsory to inflate the ty","http://www.bicyclebuys.com/item/0603206-29/nt",39.99,"Bicycles > ATB Tires > Mountain Tires","","http://www.bicyclebuys.com/productimages/0603206.jpg","","Yes","New","New Low Price ","",.45,"","","",""
"Shimano","0414456","Shimano Cleat Adapter SM-SH85","The Shimano SH85 Cleat Adapter allows you to use a two bolt SPD or SPD-R Cleat while wearing an SPD-SL shoe. Genuine Shimano OEM part ensures perfect fit. Fits three bolt shimano shoe systems.","http://www.bicyclebuys.com/item/0414456/nt",24.99,"Bicycles > Clipless Pedals > Road Clipless Pedals","","http://www.bicyclebuys.com/productimages/0414456.jpg","","Yes","New","","",.45,"","","",""
"Sunlite","SU2026","Sunlite HD Adjustable Training Wheels 20-26","The Sunlite HD Adjustable Training Wheels 20-26 are designed for those who need a little help getting around on their favorite bike.  Great for special needs riders and kids who haven't gotten their riding legs yet.","http://www.bicyclebuys.com/item/SU2026/nt",64.99,"Bicycles > Miscellaneous Components > Kid's Accessories","","http://www.bicyclebuys.com/productimages/SU2026.jpg","","Yes","New","","",.45,"","","",""
"Blackburn","0114290","Blackburn Flea 2.0 USB Rechargeable Lightset","The Blackburn Flea 2.0 USB rechargeable cycling lightest is super light. Featureing a clear power button that houses an LED battery fuel gauge/charging indicator. This uses a Li-Ion battery that recharges thru a USB port.","http://www.bicyclebuys.com/item/0114290/nt",44.99,"Bicycles > LightSets > Light Sets","","http://www.bicyclebuys.com/productimages/0114290.jpg","","Yes","New","","",.45,"","","",""
"Look","0791039PART","Look Cool Max Summer Ankle Sock","Look Cool Max Summer Ankle Sock. The sole of foot is padded for greater comfort. Provides excellent evacuation of perspiration, very good comfort.","http://www.bicyclebuys.com/item/0791039PART/nt",13.99,"Bicycles > Socks > Cycling Socks","","http://www.bicyclebuys.com/productimages/0791039PART.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","LGMURXWPART","Louis Garneau Multi RX Womens Spinning Shoe","The sylish, comfortable Louis Garneau Women's Multi RX Cycling Shoe is one of the world's most popular women's cycling shoes.  Great for roadies, spinners, and mountain bikers.<","http://www.bicyclebuys.com/item/LGMURXWPART/nt",74.99,"Bicycles > Shoes > Spinning Shoes","","http://www.bicyclebuys.com/productimages/LGMURXWPART.jpg","","Yes","New","","",.45,"","","",""
"Kuat Racks","0129902PART","Kuat Bottle Lock","The Kuat Bottle Lock is possibly one of the most innovative lock ideas that no one ever thought of before. Housed in a beautiful bottle shaped case that simply plants itself into a water bottle cage is a 8mm thick braided steel cable. Pull the cable out t","http://www.bicyclebuys.com/item/0129902PART/nt",32.99,"Bicycles > Locks > Cable Locks","","http://www.bicyclebuys.com/productimages/0129902PART.jpg","","Yes","New","","",.45,"","","",""
"Cannondale","0760078PART","Cannondale Anklet Sock","Cannondale Anklet Sock is made with Coolmax material. Allows for excellent wicking and moisture control.","http://www.bicyclebuys.com/item/0760078PART/nt",7.99,"Bicycles > Socks > Cycling Socks","","http://www.bicyclebuys.com/productimages/0760078PART.jpg","","Yes","New","","",.45,"","","",""
"Cannondale","0114602PART","Cannondale C Logo Water Bottle Cage","Cannondale C Logo Water Bottle Cage gives you easy bottle access with more wrap around coverage than a standard cage.","http://www.bicyclebuys.com/item/0114602PART/nt",13.99,"Bicycles > Hydration > Bottle Cages","","http://www.bicyclebuys.com/productimages/0114602.jpg","","Yes","New","","",.45,"","","",""
"Hutchinson","0603211","Hutchinson Atom Comp Tubeless 700x23 Road Tire Black","Hutchinson Atom Comp Tubeless 700x23 Road Tire features a uniform rubber tread, chosen to satisfy both lightweight and performance, and a slick type competition profile that performs very fast.","http://www.bicyclebuys.com/item/0603211/nt",59.99,"Bicycles > Road Tires > Road Tires","","http://www.bicyclebuys.com/productimages/0603211.jpg","","Yes","New","","",.45,"","","",""
"Shimano","0150130","Shimano Universal Replacement Buckle and Strap Set (ESHUNISBS)","Shimano Replacement Buckle and strap set.  Replaces old, worn out strap and buckles on shimano shoes with a top ratchet. Universal for most shimano shoes (Shimano part # ESHUNISBS).","http://www.bicyclebuys.com/item/0150130/nt",24.99,"Bicycles > Shoes > Road Shoes","","http://www.bicyclebuys.com/productimages/0150130.jpg","","Yes","New","","",.45,"","","",""
"Hutchinson","0603188PART","Hutchinson Fusion 3 Road Tire 700x23","Hutchinson Fusion 3 Road Tire has a Competition slick profile for very high performance.  Triple Compound technology: 3 component compound for increased tread life.  Ultra-efficient 127 tpi casing • Carbon beads for maximum safety.","http://www.bicyclebuys.com/item/0603188PART/nt",34.99,"Bicycles > Road Tires > Road Tires","","http://www.bicyclebuys.com/productimages/0603188PART.jpg","","Yes","New","Month's Special ","",.45,"","","",""
"Time","0414490","Time RXS First Road Pedals","Time RSX First Pedals are designed for Road/Cyclosport use.  Tension adjustability, Carbon Composite body.  Lightweight pedals at a great price.","http://www.bicyclebuys.com/item/0414490/nt",49.99,"Bicycles > Clipless Pedals > Road Clipless Pedals","","http://www.bicyclebuys.com/productimages/0414490.jpg","","Yes","New","Limited Time ","",.45,"","","",""
"Shimano","SHWM61PART","Shimano SH-WM61 Women's MTB Cycling Shoe","The Shimano SH-WM61 Women's MTB Cycling Shoe is a true example of Shimano's legacy of quality and performance.  The only thing lady-like is the fit, otherwise this shoe is tough enough to kick all the boys' butts.","http://www.bicyclebuys.com/item/SHWM61PART/nt",79.99,"Bicycles > Shoes > Mountain Shoes","","http://www.bicyclebuys.com/productimages/SHWM61PART.jpg","","Yes","New","","",.45,"","","",""
"Racor","0129935","Racor Solo Vertical Bike Rack B-1R","Racor Solo Vertical Bike Rack B-1R.  Made of sturdy solid steel construction and a durable epoxy finish, the Solo Bike Rack has a lifetime warranty. No assembly required. Easy wall installation with provided hardware.","http://www.bicyclebuys.com/item/0129935/nt",14.99,"Bicycles > Storage Systems > Wall Storage Systems","","http://www.bicyclebuys.com/productimages/0129935.jpg","","Yes","New","","",.45,"","","",""
"Continental","0601524PART","Continental Ultra Gatorskin 700c Tire","Continental's Ultra Gatorskin is a heavy duty road tire for extra protection (but light in weight). Puncture resistant Kevlar belt to reduce chance of flats. Duraskin fabric & Kevlar to boot.","http://www.bicyclebuys.com/item/0601524PART/nt",38.2415,"Bicycles > Road Tires > Road Tires","","http://www.bicyclebuys.com/productimages/0601524PART.jpg","","Yes","New","","",.45,"","","",""
"Kryptonite","1729852","Kryptonite Kryptolok U-Lock Combination","Kryptonite Kryptolok U-Lock Combination. Bicycle security for low to moderate crime areas with no keys to lose.","http://www.bicyclebuys.com/item/1729852/nt",32.99,"Bicycles > Locks > U-Locks","","http://www.bicyclebuys.com/productimages/1729852.jpg","","Yes","New","","",.45,"","","",""
"Blackburn","0100181-AST","Blackburn Tech Fluid Trainer w/Sigma 1609L Cadence Computer","Blackburn Tech Fluid is an ideal platform for precise interval and speed workouts. This hydraulic resistance trainer provides highly refined power curve, close matching an on-road ride feel. Frame stiffness and stability of this trainer is the best on the","http://www.bicyclebuys.com/item/0100181-AST/nt",234.99,"Bicycles > Indoor Trainers > Indoor Trainers","","http://www.bicyclebuys.com/productimages/0100181-AST.jpg","0.00","Yes","New","Limited Time Free Shipping","",.45,"","","",""
"CamelBak","0861001PART","Camelbak Elixir Energy Supplement","Camelbak Elixir Energy Supplement. A sugar-free effervescent tablet, loaded with electrolytes, designed specifically for a CamelBak hydration system. Elixir dissolves easily in water and won’t leave a sticky residue if used in a reservoir. Use one tablet ","http://www.bicyclebuys.com/item/0861001PART/nt",8.99,"Bicycles > Energy Food > Energy Food and Drinks","","http://www.bicyclebuys.com/productimages/0861001PART.jpg","","Yes","New","","",.45,"","","",""
"Shimano","SHR190PART","Shimano SH-R190 Road Shoe","The Shimano SH-R190 Road Shoe, part of the Road Competition series, combines the three most important properties of a competitive racing shoe: Stability, Rigidity and Light Weight.  Designed for club riders and aspiring champions, this shoe offers profess","http://www.bicyclebuys.com/item/SHR190PART/nt",149.99,"Bicycles > Shoes > Road Shoes","","http://www.bicyclebuys.com/productimages/SHR190PART.jpg","","Yes","New","Limited Time ","",.45,"","","",""
"Easton","0508030SR","Easton R4SL Freehub Body Sram/Shimano (2021227) Sram Black/Silver","Easton's Ultralight SL Freehub Body allows you to change component manufacturers without sacrificing your rear wheel or having to re-lace a new hub, the SL hub body  is also the perfect upgrade for your EA-90SL or Aero wheelset, save approximately 15 gram","http://www.bicyclebuys.com/item/0508030SR/nt",84.9915,"Bicycles > Hubs > Hubs","","http://www.bicyclebuys.com/productimages/0508030SR.jpg","","Yes","New","","",.45,"","","",""
"BikeHard","0114578","BikeHard Aero StashR XL Bag","BikeHard Aero StashR XL Bag. Got a big stash and need  Bigger than its younger brother the Aero Stashr by 2.5 inches in length and .5 inches in height, its storage capacity is ideal for longer road rides (and convienient for hybrids too.). 100g.","http://www.bicyclebuys.com/item/0114578/nt",19.99,"Bicycles > Bags > Handlebar Bags","","http://www.bicyclebuys.com/productimages/0114578.jpg","","Yes","New","","",.45,"","","",""
"Easton","1630476PART","Easton Handlebar Tape","Road Bar handlebar tape.  Padded for comfort and support.  Adhesive backed so as not to unravel and shift.  Easton logo.","http://www.bicyclebuys.com/item/1630476PART/nt",8.4915,"Bicycles > Handlebar Tape/Grips > Handlebar Tape / Grips","","http://www.bicyclebuys.com/productimages/1630476PART.jpg","","Yes","New","","",.45,"","","",""
"Look","0486676PART","Look Keo Cleats","Look Keo Cleats.  Replacement cycling shoe cleats for Look KeO clip-in pedal system. Teflon material on contact points makes for quiet and easy clip-in and clip-out Patented cleat position memory allows cleat to be replaced to take on exactly the same pos","http://www.bicyclebuys.com/item/0486676PART/nt",16.99,"Bicycles > Clipless Pedals > Road Clipless Pedals","","http://www.bicyclebuys.com/productimages/0486676PART.jpg","","Yes","New","","",.45,"","","",""
"Blackburn","0100181","Blackburn Tech Fluid Trainer","Blackburn Tech Fluid is an ideal platform for precise interval and speed workouts. This hydraulic resistance trainer provides highly refined power curve, close matching an on-road ride feel. Frame stiffness and stability of this trainer is the best on the","http://www.bicyclebuys.com/item/0100181/nt",224.99,"Bicycles > Indoor Trainers > Indoor Trainers","","http://www.bicyclebuys.com/productimages/0100181.jpg","0.00","Yes","New","Limited Time Free Shipping","",.45,"","","",""
"Sigma Sport","0130002","Sigma BC-1609L Cycle Computer w/Cadence","Sigma BC-1609L Cycle Computer w/Cadence has a rear mount for the cadence.  Ideal for indoor trainer use.  Featuring a stopwatch, temperature display, backlight and cadence, this computer is sure to please.","http://www.bicyclebuys.com/item/0130002/nt",34.99,"Bicycles > Cycle Computers > Cycle Computers","","http://www.bicyclebuys.com/productimages/0130002.jpg","","Yes","New","","",.45,"","","",""
"Sunlite","1799946PART","Sunlite Willow Handlebar Basket","Sunlite Willow Bushel Handlebar Basket is the perfect accessory for your kid's bike or your own cruiser. Impress your friends with the most color-coordinated baskets on the market.","http://www.bicyclebuys.com/item/1799946PART/nt",16.99,"Bicycles > Bags > Handlebar Bags","","http://www.bicyclebuys.com/productimages/1799946PART.jpg","","Yes","New","","",.45,"","","",""
"Crank Brothers","0402055","Crank Brothers Premium Cleats","Crank Brother's premium ATB cleats are composted of 2 brass cleats as well as the shims, washers and hardware. Compatible with eggbeater, candy, smarty, mallet, and acid pedals. Release angles of 15 and 20 degrees are possible by switching the cleats from","http://www.bicyclebuys.com/item/0402055/nt",12.99,"Bicycles > Clipless Pedals > Mountain Clipless Pedals","","http://www.bicyclebuys.com/productimages/0402055.jpg","","Yes","New","Limited Time ","",.45,"","","",""
"Giro","GIIO1PART","Giro Ionos Helmet '11","The Giro Ionos Road Cycling Helmet has a new Roc Loc 5. Ionos is the most ventilated and technologically advanced road cycling helmet Giro has ever created. Our proprietary in-mold composite sub-frame (I.C.S.™) provides the strength to support 21 of the l","http://www.bicyclebuys.com/item/GIIO1PART/nt",159.99,"Bicycles > Helmets > Road Helmets","","http://www.bicyclebuys.com/productimages/GIIO1PART.jpg","0.00","Yes","New","Discontinued Item Free Shipping","",.45,"","","",""
"BikeHard","0114582PART","BikeHard Challenger Metal Matrix Water Bottle Cage","The BikeHard Challenger Metal Matrix water bottle cage is the pinnacle of alloy cage engineering.  Utilizing a proprietary super light custom 5052 alloy and a precise molding process, the Challenger case is lighter than most carbon fiber cages and infinit","http://www.bicyclebuys.com/item/0114582PART/nt",11.99,"Bicycles > Hydration > Bottle Cages","","http://www.bicyclebuys.com/productimages/0114582PART.jpg","","Yes","New","","",.45,"","","",""
"Shimano","0414459","Shimano SPD Cleat SM-SH51","Shimano SPD Cleat SM-SH51 is the quintessential genuine Shimano cleat for any SPD compatible pedal. Providing 6 Degrees of float, the SH51 is also of very responsive single-mode release design.","http://www.bicyclebuys.com/item/0414459/nt",16.99,"Bicycles > Clipless Pedals > Mountain Clipless Pedals","","http://www.bicyclebuys.com/productimages/0414459.jpg","","Yes","New","","",.45,"","","",""
"Avenir","0951528PART","Avenir City 100 Saddle","The Avenir City 100 Saddle is a basic replacement saddle for older bikes and those harsh-riding supermarket specials.  The gel foam padding feels real nice in comparision to that weird yellow stuff stuffed into their saddles.","http://www.bicyclebuys.com/item/0951528PART/nt",25.99,"Bicycles > Seats > Comfort / Cruiser Seats","","http://www.bicyclebuys.com/productimages/0951528PART.jpg","","Yes","New","","",.45,"","","",""
"Cannondale","CAQUIPART","Cannondale Quick Helmet","The Cannondale Quick helmet is arguably the most fully featured recreational helmet to hit the market… ever.  Exceptionally light, the foam core is structured to provide the largest and most equally spaced vent ports of any helmet in its class. While most","http://www.bicyclebuys.com/item/CAQUIPART/nt",39.99,"Bicycles > Helmets > Road Helmets","","http://www.bicyclebuys.com/productimages/CAQUIPART.jpg","","Yes","New","","",.45,"","","",""
"Selle Italia","0921070PART","Selle Italia SL Kit Carbonio Flow Saddle","Selle Italia SL Kit Carbonio Flow Saddle is an ultra light comfortable saddle with italian styling and a racers look. Handcrafted in Italy, this 240 gram saddle has an anatomical centrally placed cutout, EVA inner padding, and a supple italian leather out","http://www.bicyclebuys.com/item/0921070PART/nt",49.99,"Bicycles > Seats > Road Seats","","http://www.bicyclebuys.com/productimages/0921070PART.jpg","","Yes","New","","",.45,"","","",""
"SIDI","SIGE5PCPART","Sidi Genius 5 Pro Carbon Road Cycling Shoe","Sidi Genius 5 Pro Carbon Road Cycling Shoe combines many high-tech features and ergonomics. The upper of the shoe is made with Lorica and nylon mesh. Lorica is a Hi-tech leather which is water-repellent, permeable to water vapor, and resistant to tearing,","http://www.bicyclebuys.com/item/SIGE5PCPART/nt",249.95,"Bicycles > Shoes > Road Shoes","","http://www.bicyclebuys.com/productimages/SIGE5PCPART.jpg","0.00","Yes","New","Free Shipping","",.45,"","","",""
"Sram","1010006PART","Sram Rival PG-0G1070 10/speed Cassette","The Sram Rival Cassette is used for the Rival and Force Groups.  Sprockets are Chrome Plated Heat Treated steel.  An Alloy Lock ring included.  New OpenGlide design creates a lightweight and efficient shifting systems.","http://www.bicyclebuys.com/item/1010006PART/nt",79.99,"Bicycles > Cassettes > Cassettes","","http://www.bicyclebuys.com/productimages/1010006PART.jpg","","Yes","New","","",.45,"","","",""
"Kryptonite","1729887","Kryptonite KryptoFlex 1018 Key Cable Lock 6'","Kryptonite Kryptoflex 1018 Key Cable Lock 6'(180cm) x 10mm. This 6 feet long, self-coiling cable lock is ideal for quick lock up around low crime areas.","http://www.bicyclebuys.com/item/1729887/nt",17.99,"Bicycles > Locks > Cable Locks","","http://www.bicyclebuys.com/productimages/1729887.jpg","","Yes","New","","",.45,"","","",""
"Shimano","SHM161GPART","Shimano SH-M161G MTB Cycling Shoe","Shimano SH-M161G MTB Cycling Shoe is a rugged mountain shoe that is also very good looking. This rock solid shoe keeps your feet well in position with 2 vecro closure up front and strap buckle on top. Hard rubber armor pieces are placed all around the sho","http://www.bicyclebuys.com/item/SHM161GPART/nt",109.99,"Bicycles > Shoes > Mountain Shoes","","http://www.bicyclebuys.com/productimages/SHM161GPART.jpg","","Yes","New","","",.45,"","","",""
"Schwinn","0603167","Schwinn Stingray 20 X 4 1/4 Rear tube","Schwinn Stingray 20 X 4 1/4 Rear tube. This tube is specifically designed for the very wide chopper tires that you find on Schwinn Stingrays. These are the Schwinn manufactured tubes that come as original equipment on the Schwinn Choppers.","http://www.bicyclebuys.com/item/0603167/nt",14.99,"Bicycles > Tubes > Tubes","","http://www.bicyclebuys.com/productimages/tube.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","LGMURXPART","Louis Garneau Multi RX Spinning Shoe","Louis Garneau Multi Cycling Shoe.  Beautiful styling meets function: Great for the road and trail as well as the Spin class.  Features:  The upper is constructed mostly of nylon mesh and synthetic leather for ventilation, comfort and support.A semi rigid ","http://www.bicyclebuys.com/item/LGMURXPART/nt",74.99,"Bicycles > Shoes > Spinning Shoes","","http://www.bicyclebuys.com/productimages/LGMURXPART.jpg","","Yes","New","","",.45,"","","",""
"Pearl Izumi","0740473PART","Pearl Izumi Elite Softshell Jacket","Pearl Izumi Elite Softshell Jacket has an ideal technology for cold weather cycling with its multiple attributes: a wind and water-resistant laminate sandwiched in-between an outer knit face and fleece inner lining means protection from the elements, warm","http://www.bicyclebuys.com/item/0740473PART/nt",129.99,"Bicycles > Jackets > Jackets","","http://www.bicyclebuys.com/productimages/0740473PART.jpg","","Yes","New","","",.45,"","","",""
"Continental","0601501PART","Continental Grand Prix 4000S Folding Tire","The Continental Grand Prix 4000S Folding Tire boasts global appeal as the best all round race bike tyre on the market. Not only is it fast and super grippy, thanks to its state of the art Black Chili rubber compound, but it is also tough with a healthy tr","http://www.bicyclebuys.com/item/0601501PART/nt",53.5415,"Bicycles > Road Tires > Road Tires","","http://www.bicyclebuys.com/productimages/0601501PART.jpg","0.00","Yes","New","Month's Special Free Shipping","",.45,"","","",""
"GoPro","0102014","GoPro HD Hero 2 Motorsports Edition Camera","GoPro HD Hero 2 Motorsports Edition. GoPro cameras are used by more motorsports professionals, race teams and core enthusiasts than any other camera in the world. Take it with you to your next track day, motocross, or race event and record your activities","http://www.bicyclebuys.com/item/0102014/nt",299.99,"Bicycles > Cycle Computers > Cycle Computers","","http://www.bicyclebuys.com/productimages/0102014.jpg","0.00","Yes","New","Intro Price Free Shipping","",.45,"","","",""
"Shimano","SHWM62PART","Shimano SH-WM62 Women's Shoe","Shimano SH-WM62 Women's Shoe brings high-performance to every girl. Mega stiff sole and ratchet buckle system ensure efficient power transfer and unparalleled fit. Great choice for spinners who desire an edge, even the competitve cyclist will see the bene","http://www.bicyclebuys.com/item/SHWM62PART/nt",89.99,"Bicycles > Shoes > Mountain Shoes","","http://www.bicyclebuys.com/productimages/SHWM62PART.jpg","","Yes","New","","",.45,"","","",""
"Shimano","0150128","Shimano Replacement Buckle and Strap Set For R/M310 Shoe(ESHRM310BS) Universal Size Silver","Shimano Replacement Buckle and strap set.  Replaces old, worn out strap and buckles on shimano shoes with a top ratchet.","http://www.bicyclebuys.com/item/0150128/nt",24.99,"Bicycles > Shoes > Road Shoes","","http://www.bicyclebuys.com/productimages/0150128.jpg","","Yes","New","","",.45,"","","",""
"Pearl Izumi","0740512PART","Pearl Izumi Elite Barrier Convertible Jacket '12","The Pearl Izumi Elite Barrier Convertible Jacket returns updated with the same great features, fabric and more aggressive look. Converts to a vest in seconds to help regulate temperature.","http://www.bicyclebuys.com/item/0740512PART/nt",99.99,"Bicycles > Jackets > Jackets","","http://www.bicyclebuys.com/productimages/0740512PART.jpg","","Yes","New","","",.45,"","","",""
"Hutchinson","0603215","Hutchinson Protect'Air Max Puncture Prevention Liquid 120ml","Hutchinson Protect'Air Max Puncture Prevention Liquid 120ml. Hutchinson Protect' Air is a non-latex based flat preventive liquid which uses an aramid pulp to fill holes up to 3mm.","http://www.bicyclebuys.com/item/0603215/nt",10.99,"Bicycles > Tire Tools > Air Inflators","","http://www.bicyclebuys.com/productimages/0603215.jpg","","Yes","New","","",.45,"","","",""
"Shimano","1010051PART","Shimano Ultegra 10-Speed CS 6600 Cassette","The All New Shimano Ultegra 10/speed is designed as the Dura-Ace 10 and compatible with that system.  Compatible with 9/speed systems too.  Nickle plated. Use Super Narrow Chain. Weight 235 gms.","http://www.bicyclebuys.com/item/1010051PART/nt",69.99,"Bicycles > Cassettes > Cassettes","","http://www.bicyclebuys.com/productimages/1010051PART.jpg","","Yes","New","","",.45,"","","",""
"Hutchinson","0603206","Hutchinson Python New Gen Tubeless Ready 26x2.0 Tire","Hutchinson Python New Gen Tubeless Ready Tire. The TUBELESS READY technology also benefits advantages from the TUBELESS, but further in the way of light weight, with an average of 160 grams less than a Tubeless. However, it is compulsory to inflate the ty","http://www.bicyclebuys.com/item/0603206/nt",34.99,"Bicycles > ATB Tires > Mountain Tires","","http://www.bicyclebuys.com/productimages/0603206.jpg","","Yes","New","New Low Price ","",.45,"","","",""
"Kurt Kinetic","0123024-AST","Kurt Kinetic Fluid Trainer (Road Machine) w/Sigma 1609L Cadence Comput","Kurt Kinetic Fluid Trainer (Road Machine) is the perfect workout partner for sprints to intervals to all-day cruising. Quiet. Smooth. And like every Kinetic Trainer, 100% leak-proof. The power calibration gives you true outdoor simulation. The automatic r","http://www.bicyclebuys.com/item/0123024-AST/nt",339.99,"Bicycles > Indoor Trainers > Indoor Trainers","","http://www.bicyclebuys.com/productimages/0123024-AST.jpg","0.00","Yes","New","Free Shipping","",.45,"","","",""
"Avenir","0110004","Avenir 26 inch Cruiser Fender Set Chrome","Avenir 26 inch Cruiser Fender Set in Chrome.  Comes with braces for direct mount to frame.","http://www.bicyclebuys.com/item/0110004/nt",19.99,"Bicycles > Bicycle Fenders > Fenders","","http://www.bicyclebuys.com/productimages/0110004.jpg","","Yes","New","","",.45,"","","",""
"BikeHard","0114569","BikeHard Aero StashR Bag","The BikeHard Aero StashR is ideal for carrying your iPod, phone and/or energy bars. 73g.","http://www.bicyclebuys.com/item/0114569/nt",14.99,"Bicycles > Bags > Handlebar Bags","","http://www.bicyclebuys.com/productimages/0114569.jpg","","Yes","New","","",.45,"","","",""
